First Name;Last Name;Email;Application Date;Country;YOE;Seniority;Technology;Code Challenge Score;Technical Interview Score
Bernadette;Langworth;leonard91@yahoo.com;2021-02-26;Norway;2;Intern;Data Engineer;3;3
Camryn;Reynolds;zelda56@hotmail.com;2021-09-09;Panama;10;Intern;Data Engineer;2;10
Larue;Spinka;okey_schultz41@gmail.com;2020-04-14;Belarus;4;Mid-Level;Client Success;10;9
Arch;Spinka;elvera_kulas@yahoo.com;2020-10-01;Eritrea;25;Trainee;QA Manual;7;1
Larue;Altenwerth;minnie.gislason@gmail.com;2020-05-20;Myanmar;13;Mid-Level;Social Media Community Management;9;7
Alec;Abbott;juanita_hansen@gmail.com;2019-08-17;Zimbabwe;8;Junior;Adobe Experience Manager;2;9
Allison;Jacobs;alba_rolfson27@yahoo.com;2018-05-18;Wallis and Futuna;19;Trainee;Sales;2;9
Nya;Skiles;madisen.zulauf@gmail.com;2021-12-09;Myanmar;1;Lead;Mulesoft;2;5
Mose;Lakin;dale_murazik@hotmail.com;2018-03-13;Italy;18;Lead;Social Media Community Management;7;10
Terrance;Zieme;dustin31@hotmail.com;2022-04-08;Timor-Leste;25;Lead;DevOps;2;0
